ID,Title,Author,Year,Format,File
1,Aneh?,Sonal Gupta Vaswani,2024,PDF,ebook/Aneh.pdf
2,Aum Aum Dinosaurus!,Lavanya Naidu,2024,PDF,ebook/Aum Aum Dinosaurus!.pdf
3,Jempol Anaya,Ruchi Shah dkk,2024,PDF,ebook/Jempol Anaya.pdf
4,Keluarga Kami,Chan Pisey dkk,2024,PDF,ebook/Keluarga Kami.pdf
5,Menghitung,Gay Galsworthy dkk,2024,PDF,ebook/Menghitung.pdf
6,Monster Kakak,Sunaina Coelho dkk,2024,PDF,ebook/Monster Kakak.pdf
7,Nyanyian Hujan,Manisha Chaudhry dkk,2024,PDF,ebook/Nyanyian Hujan.pdf
8,Transportasi,bookbot,2024,PDF,ebook/Transportasi.pdf
9,Lori Dori,Sonia Dearling dkk,2024,PDF,ebook/loridori.pdf
10,Resume Kuliah Tamu,Kezia Dwi Angelina,2025,PDF,ebook/Kezia Dwi Angelina (139) - Kuliah Tamu.pdf
